Time,Phase 1 [0] Score,Phase 4 [1] Score,Waiting Time,Queue Lengths,Number of Vehicles Exited the Intersection
312,60.5,673.0,748.0,46,236
313,53.0,698.0,758.0,46,239
314,45.0,723.0,767.0,46,239
315,50.0,654.0,709.0,45,241
316,55.5,588.0,653.0,46,241
317,47.0,521.0,569.0,46,242
318,41.5,451.0,489.0,45,242
319,48.5,385.0,436.0,46,242
320,55.5,327.0,392.0,46,242
321,63.5,268.0,350.0,45,243
322,71.5,217.0,315.0,45,243
323,81.5,168.0,286.0,45,244
324,92.0,120.0,258.0,46,244
325,102.5,76.0,235.0,46,245
326,113.5,38.0,219.0,46,245
327,125.0,18.0,221.0,47,246
328,136.5,17.0,243.0,47,247
329,148.5,17.0,266.0,48,247
330,161.5,17.0,291.0,49,247
331,174.5,18.0,317.0,50,248
332,188.5,19.0,344.0,52,249
333,203.0,17.0,372.0,51,249
334,217.0,17.0,400.0,51,250
335,232.0,17.0,429.0,52,250
336,246.5,16.0,458.0,51,251
337,262.0,16.0,489.0,51,251
338,278.0,16.0,520.0,52,251
339,293.5,17.0,551.0,53,251
340,310.0,16.0,584.0,52,252
341,327.0,15.0,617.0,52,253
342,343.5,16.0,650.0,53,254
343,360.0,14.0,683.0,51,254
344,377.0,14.0,716.0,52,255
345,394.5,14.0,751.0,52,255
346,412.0,14.0,786.0,52,256
347,430.0,13.0,821.0,52,256
348,447.5,13.0,856.0,52,257
349,465.5,13.0,892.0,52,258
350,484.0,13.0,928.0,53,259
351,502.0,13.0,964.0,53,260
352,520.5,15.0,1003.0,53,262
353,539.5,16.0,1041.0,54,262
354,558.0,15.0,1077.0,54,262
355,576.5,14.0,1113.0,54,263
356,596.0,13.0,1150.0,55,265
357,615.0,14.0,1189.0,55,265
358,634.5,17.0,1230.0,56,265
359,655.0,20.0,1273.0,57,265
360,608.0,25.0,1185.0,56,265
361,564.0,30.0,1101.0,57,265
362,552.5,36.0,1084.0,57,266
363,515.5,37.0,1010.0,58,266
364,458.5,37.0,895.0,59,267
365,406.5,39.0,793.0,59,267
366,384.0,42.0,751.0,59,267
367,361.0,48.0,709.0,61,267
368,341.5,54.0,675.0,62,267
369,327.0,62.0,655.0,61,267
370,309.0,71.0,627.0,62,267
371,294.5,82.0,608.0,63,268
372,303.0,93.0,638.0,61,268
373,286.5,107.0,618.0,62,269
374,269.0,120.0,598.0,60,269
375,278.5,135.0,631.0,61,269
376,288.0,150.0,667.0,59,270
377,299.5,166.0,706.0,59,270
378,310.0,184.0,745.0,59,271
379,320.5,203.0,786.0,58,272
380,331.5,223.0,828.0,58,274
381,342.5,243.0,869.0,59,275
382,353.5,264.0,913.0,58,276
383,365.0,285.0,957.0,58,277
384,376.0,307.0,1001.0,58,277
385,387.5,329.0,1046.0,58,279
386,398.5,352.0,1092.0,57,279
387,410.0,376.0,1139.0,57,281
388,421.0,400.0,1186.0,56,282
389,432.0,424.0,1233.0,55,283
390,443.5,449.0,1281.0,55,284
391,454.0,474.0,1329.0,53,284
392,465.5,499.0,1377.0,53,286
393,477.5,524.0,1425.0,54,287
394,488.0,549.0,1473.0,52,287
395,499.5,574.0,1521.0,52,289
396,511.5,599.0,1569.0,53,289
397,506.0,624.0,1585.0,51,291
398,465.5,649.0,1529.0,51,291
399,443.0,674.0,1508.0,52,291
400,393.0,699.0,1435.0,50,293
401,344.0,724.0,1363.0,49,293
402,297.5,749.0,1294.0,50,293
403,289.0,774.0,1302.0,50,293
404,282.0,799.0,1313.0,50,294
405,276.5,734.0,1238.0,49,296
406,270.5,672.0,1164.0,49,296
407,265.0,610.0,1091.0,49,297
408,275.5,546.0,1049.0,48,297
409,287.0,483.0,1009.0,48,298
